BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Tony Opatha,4,0,19,0,4.75,-,-,-,0,0
Mevan Pieris,2,0,13,0,6.50,-,-,-,0,0
Somachandra De Silva,8,1,33,1,4.13,-,-,-,0,0
Lalith Kaluperuma,6.4,1,17,0,2.55,-,-,-,0,0
