BATSMEN,,R,B,M,4s,6s,SR
Shahriar Hossain,lbw b Allott,0,3,2,0,0,0.00
Mehrab Hossain,lbw b Allott,2,4,10,0,0,50.00
Akram Khan,c & b Larsen,16,33,56,2,0,48.48
Aminul Islam,b Cairns,15,41,43,2,0,36.59
Khaled Mashud,b Larsen,4,15,22,0,0,26.67
Naimur Rahman,lbw b Larsen,18,51,72,0,0,35.29
Khaled Mahmud,c Twose b Cairns,3,7,7,0,0,42.86
Mohammad Rafique,lbw b Cairns,0,1,5,0,0,0.00
Enamul Haque,b Harris,19,41,60,3,0,46.34
Hasibul Hossain,c Horne b Allott,16,28,34,1,1,57.14
Manjurul Islam,not out,6,6,17,0,0,100.00
