BATSMEN,,R,B,M,4s,6s,SR
Kennedy Otieno,c Dillon b Drakes,3,16,16,0,0,18.75
Ravi Shah,c Gayle b Dillon,12,22,36,1,0,54.55
Brijal Patel,c Lara b Drakes,11,30,44,1,0,36.67
Steve Tikolo,lbw b Drakes,12,27,40,2,0,44.44
Hitesh Modi,c Jacobs b Drakes,0,1,2,0,0,0.00
Maurice Odumbe,hit wicket b Lawson,0,2,14,0,0,0.00
David Obuya,c Powell b Drakes,4,6,18,1,0,66.67
Collins Obuya,c Powell b Lawson,13,35,40,1,0,37.14
Peter Ongondo,b Powell,24,43,62,1,0,55.81
Martin Suji,c Chanderpaul b Hinds,13,32,43,0,0,40.63
Joseph Angara,not out,0,2,4,0,0,0.00
