BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Chaminda Vaas,10,1,47,0,4.70,37,5,1,1,0
Eric Upashantha,10,1,43,1,4.30,39,5,0,4,0
Pramodya Wickramasinghe,10,1,30,3,3.00,43,3,0,0,0
Mahela Jayawardene,1,0,8,0,8.00,2,1,0,0,0
Muttiah Muralitharan,10,2,29,2,2.90,42,2,0,1,0
Sanath Jayasuriya,7,0,28,1,4.00,26,1,1,0,0
Aravinda de Silva,2,0,9,0,4.50,6,1,0,0,0
