BATSMEN,,R,B,M,4s,6s,SR
Mohammad Shahzad,b Starc,0,3,4,0,0,0.00
Hazratullah Zazai,c Carey b Cummins,0,2,10,0,0,0.00
Rahmat Shah,c Smith b Zampa,43,60,86,6,0,71.67
Hashmatullah Shahidi,st Carey b Zampa,18,34,56,3,0,52.94
Mohammad Nabi,run out (Smith/Carey),7,22,28,0,0,31.82
Gulbadin Naib,c Carey b Stoinis,31,33,67,4,1,93.94
Najibullah Zadran,c Carey b Stoinis,51,49,66,7,2,104.08
Rashid Khan,lbw b Zampa,27,11,23,2,3,245.45
Dawlat Zadran,c Carey b Cummins,4,6,5,1,0,66.67
Mujeeb Ur Rahman,b Cummins,13,9,18,1,1,144.44
Hamid Hassan,not out,1,2,3,0,0,50.00
