BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Nathan McCullum,10,1,24,3,2.40,41,1,0,0,0
Daniel Vettori,10,0,39,0,3.90,35,2,0,0,0
Tim Southee,9,0,44,1,4.89,25,5,0,0,0
Jacob Oram,9,1,39,4,4.33,35,4,1,0,0
Luke Woodcock,5.2,0,24,1,4.50,16,2,0,1,0
