BATSMEN,,R,B,M,4s,6s,SR
Upul Tharanga,c Pietersen b Flintoff,62,103,150,2,0,60.19
Sanath Jayasuriya,b Mahmood,25,26,34,4,1,96.15
Kumar Sangakkara,c Collingwood b Mahmood,17,33,46,2,0,51.52
Mahela Jayawardene,c Joyce b Collingwood,56,61,80,4,0,91.80
Chamara Silva,b Flintoff,23,37,46,2,0,62.16
Tillakaratne Dilshan,run out (Bell),5,6,13,0,0,83.33
Russel Arnold,c Joyce b Mahmood,20,22,36,1,0,90.91
Chaminda Vaas,c Collingwood b Flintoff,4,5,2,0,0,80.00
Lasith Malinga,c Nixon b Mahmood,2,7,8,0,0,28.57
Muttiah Muralitharan,not out,2,2,5,0,0,100.00
Dilhara Fernando,run out (Nixon/Pietersen),2,2,1,0,0,100.00
