BATSMEN,,R,B,M,4s,6s,SR
Roshan Mahanama,c Botham b Lewis,9,19,31,1,0,47.37
Athula Samarasekera,c Illingworth b Lewis,23,29,42,4,0,79.31
Asanka Gurusinha,c & b Lewis,7,9,31,0,0,77.78
Aravinda de Silva,c Fairbrother b Lewis,7,10,10,1,0,70.00
Arjuna Ranatunga,c Stewart b Botham,36,51,67,6,0,70.59
Hashan Tillakaratne,run out,4,30,40,0,0,13.33
Sanath Jayasuriya,c DeFreitas b Illingworth,19,16,20,2,0,118.75
Graeme Labrooy,c Smith b Illingworth,19,34,42,1,0,55.88
Champaka Ramanayake,c & b Reeve,12,38,35,0,0,31.58
Don Anurasiri,lbw b Reeve,11,19,17,0,0,57.89
Pramodya Wickramasinghe,not out,6,16,14,0,0,37.50
