BATSMEN,,R,B,M,4s,6s,SR
William Porterfield,c Bell b Flintoff,31,68,84,1,0,45.59
Jeremy Bray,c Bopara b Anderson,0,1,1,0,0,0.00
Eoin Morgan,run out (Mahmood),2,7,12,0,0,28.57
Niall O'Brien,st Nixon b Vaughan,63,88,128,4,0,71.59
Andre Botha,c Flintoff b Panesar,18,39,34,1,0,46.15
Kevin O'Brien,lbw b Panesar,12,19,19,1,0,63.16
Trent Johnston,b Flintoff,27,21,34,1,2,128.57
Andrew White,c Nixon b Collingwood,38,35,39,4,0,108.57
Kyle McCallan,b Flintoff,5,6,16,0,0,83.33
Dave Langford-Smith,lbw b Flintoff,1,2,1,0,0,50.00
Boyd Rankin,not out,4,8,8,0,0,50.00
