BATSMEN,,R,B,M,4s,6s,SR
Morris Ouma,run out (Vincent),4,21,24,0,0,19.05
David Obuya,lbw b Mason,1,5,8,0,0,20.00
Ravi Shah,c & b Vettori,71,89,138,8,2,79.78
Steve Tikolo,c Vettori b Mason,7,16,28,1,0,43.75
Tanmay Mishra,c Fleming b Franklin,2,4,2,0,0,50.00
Collins Obuya,run out (Franklin/Oram),21,31,46,0,0,67.74
Thomas Odoyo,c Oram b Bond,42,67,94,4,1,62.69
Jimmy Kamande,b Vettori,12,15,21,0,1,80.00
Lameck Onyango,run out (Vincent),6,17,19,0,0,35.29
Peter Ongondo,c & b Franklin,4,21,27,0,0,19.05
Hiren Varaiya,not out,1,16,16,0,0,6.25
