BATSMEN,,R,B,M,4s,6s,SR
William Porterfield,c Shahid Afridi b Sohail Khan,107,131,161,11,1,81.68
Paul Stirling,lbw b Ehsan Adil,3,8,15,0,0,37.50
Ed Joyce,c Umar Akmal b Wahab Riaz,11,18,41,1,0,61.11
Niall O'Brien,c Umar Akmal b Rahat Ali,12,10,20,2,0,120.00
Andy Balbirnie,c Shahid Afridi b Haris Sohail,18,36,44,0,0,50.00
Gary Wilson,c Wahab Riaz b Sohail Khan,29,38,46,2,0,76.32
Kevin O'Brien,c Sohaib Maqsood b Wahab Riaz,8,16,40,1,0,50.00
Stuart Thompson,c Umar Akmal b Rahat Ali,12,15,14,1,0,80.00
John Mooney,c Umar Akmal b Wahab Riaz,13,19,27,1,0,68.42
George Dockrell,run out (Sarfaraz Ahmed/Wahab Riaz),11,8,13,0,1,137.50
Alex Cusack,not out,1,1,3,0,0,100.00
