BATSMEN,,R,B,M,4s,6s,SR
Glenn Turner,c Wasim Bari b Sarfraz Nawaz,4,16,-,0,0,25.00
John Wright,c Imran Khan b Abdul Qadir,19,57,-,1,0,33.33
Geoff Howarth,c Javed Miandad b Zaheer Abbas,39,51,-,3,0,76.47
Martin Crowe,b Mudassar Nazar,43,62,-,4,0,69.35
Bruce Edgar,lbw b Shahid Mahboob,6,22,-,0,0,27.27
Jeremy Coney,run out,51,78,-,3,0,65.38
Sir Richard Hadlee,c Mohsin Khan b Mudassar Nazar,11,20,-,1,0,55.00
Lance Cairns,c Imran Khan b Abdul Qadir,0,3,-,0,0,0.00
Warren Lees,c sub (Mansoor Akhtar) b Mudassar Nazar,26,25,-,4,0,104.00
John Bracewell,c Mohsin Khan b Sarfraz Nawaz,34,24,-,7,0,141.67
Ewen Chatfield,not out,3,6,-,0,0,50.00
