BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
John Valentine,7,2,20,1,2.86,-,-,-,0,0
Robert Callender,6,1,14,1,2.33,-,-,-,0,0
Martin Stead,0.5,0,6,0,7.20,-,-,-,0,0
