BATSMEN,,R,B,M,4s,6s,SR
Desmond Haynes,b Saleem Jaffar,37,81,-,3,0,45.68
Phil Simmons,c & b Tauseef Ahmed,50,57,-,8,0,87.72
Sir Richie Richardson,c Ijaz Ahmed b Saleem Jaffar,11,22,-,1,0,50.00
Sir Viv Richards,c Saleem Malik b Imran Khan,51,52,-,4,1,98.08
Gus Logie,c Mansoor Akhtar b Saleem Jaffar,2,4,-,0,0,50.00
Carl Hooper,lbw b Wasim Akram,22,37,-,2,0,59.46
Jeff Dujon,lbw b Wasim Akram,5,12,-,0,0,41.67
Roger Harper,c Mansoor Akhtar b Imran Khan,0,1,-,0,0,0.00
Eldine Baptiste,b Imran Khan,14,20,-,1,0,70.00
Courtney Walsh,lbw b Imran Khan,7,6,-,1,0,116.67
Patrick Patterson,not out,0,4,-,0,0,0.00
