BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Shaun Pollock,9.4,0,45,0,4.66,32,3,0,1,3
Steve Elworthy,10,1,46,2,4.60,42,3,3,0,2
Allan Donald,10,0,43,0,4.30,33,3,0,2,1
Lance Klusener,10,0,53,1,5.30,29,5,0,1,0
Hansie Cronje,7,0,50,1,7.14,14,6,0,1,0
Nicky Boje,3,0,29,0,9.67,7,1,1,2,1
