BATSMEN,,R,B,M,4s,6s,SR
Kennedy Otieno,lbw b Elworthy,26,42,59,3,0,61.90
Ravi Shah,c Boucher b Donald,50,64,76,7,0,78.13
Sandeep Gupta,b Elworthy,1,7,11,0,0,14.29
Steve Tikolo,c Cronje b Klusener,10,35,50,0,0,28.57
Maurice Odumbe,b Donald,7,15,16,1,0,46.67
Alpesh Vadher,c & b Klusener,2,24,37,0,0,8.33
Thomas Odoyo,lbw b Klusener,0,1,1,0,0,0.00
Aasif Karim,lbw b Cronje,22,40,46,2,0,55.00
Mohammad Sheikh,b Klusener,8,26,43,0,0,30.77
Martin Suji,not out,6,10,11,1,0,60.00
Joseph Angara,b Klusener,6,5,7,1,0,120.00
