BATSMEN,,R,B,M,4s,6s,SR
Marvan Atapattu,b Odoyo,23,38,50,4,0,60.53
Sanath Jayasuriya,c Patel b MA Suji,3,7,19,0,0,42.86
Hashan Tillakaratne,c AO Suji b Obuya,23,47,61,3,0,48.94
Aravinda de Silva,c Otieno b Obuya,41,53,77,4,1,77.36
Mahela Jayawardene,c & b Obuya,5,13,20,0,0,38.46
Kumar Sangakkara,c Otieno b Obuya,5,13,17,0,0,38.46
Russel Arnold,not out,25,37,65,1,0,67.57
Chaminda Vaas,c & b Obuya,4,10,10,0,0,40.00
Prabath Nissanka,c Odoyo b Tikolo,2,23,23,0,0,8.70
Muttiah Muralitharan,c AO Suji b Tikolo,10,21,17,1,0,47.62
Dilhara Fernando,b Odumbe,7,8,6,1,0,87.50
