BATSMEN,,R,B,M,4s,6s,SR
Kusal Perera,c de Kock b Abbott,3,10,6,0,0,30.00
Tillakaratne Dilshan,c du Plessis b Steyn,0,7,19,0,0,0.00
Kumar Sangakkara,c Miller b Morkel,45,96,151,3,0,46.88
Lahiru Thirimanne,c & b Imran Tahir,41,48,63,5,0,85.42
Mahela Jayawardene,c du Plessis b Imran Tahir,4,16,13,0,0,25.00
Angelo Mathews,c du Plessis b Duminy,19,32,37,1,0,59.38
Thisara Perera,c Rossouw b Imran Tahir,0,3,4,0,0,0.00
Nuwan Kulasekara,c de Kock b Duminy,1,2,4,0,0,50.00
Tharindu Kaushal,lbw b Duminy,0,1,1,0,0,0.00
Dushmantha Chameera,not out,2,5,17,0,0,40.00
Lasith Malinga,c Miller b Imran Tahir,3,6,7,0,0,50.00
