BATSMEN,,R,B,M,4s,6s,SR
Wajahatullah Wasti,c SR Waugh b McGrath,9,31,47,1,0,29.03
Saeed Anwar,c Gilchrist b Reiffel,25,23,32,5,0,108.70
Abdul Razzaq,c Fleming b Warne,60,99,126,3,1,60.61
Ijaz Ahmed,lbw b Fleming,0,6,6,0,0,0.00
Inzamam-ul-Haq,run out (Fleming),81,104,131,6,1,77.88
Mohammad Yousuf,run out (Warne/Lehmann),29,16,17,4,1,181.25
Wasim Akram,c Gilchrist b Fleming,13,12,22,1,0,108.33
Moin Khan,not out,31,12,20,2,3,258.33
Azhar Mahmood,run out (Martyn/McGrath),1,1,2,0,0,100.00
Saqlain Mushtaq,not out,0,0,3,0,0,0.00
