BATSMEN,,R,B,M,4s,6s,SR
Adam Gilchrist,b Wasim Akram,0,3,2,0,0,0.00
Mark Waugh,c Moin Khan b Abdul Razzaq,41,49,74,6,0,83.67
Ricky Ponting,c Saeed Anwar b Saqlain Mushtaq,47,60,82,7,0,78.33
Darren Lehmann,c Moin Khan b Saqlain Mushtaq,5,9,12,1,0,55.56
Steve Waugh,b Shoaib Akhtar,49,65,122,2,1,75.38
Michael Bevan,c Ijaz Ahmed b Wasim Akram,61,80,102,3,1,76.25
Damien Martyn,b Wasim Akram,18,25,49,0,0,72.00
Shane Warne,run out (Ijaz Ahmed),1,6,11,0,0,16.67
Paul Reiffel,c Wasim Akram b Saqlain Mushtaq,1,4,5,0,0,25.00
Damien Fleming,not out,4,3,15,0,0,133.33
Glenn McGrath,b Wasim Akram,0,2,1,0,0,0.00
