BATSMEN,,R,B,M,4s,6s,SR
Ian Bell,c Hussey b McGrath,77,90,126,9,0,85.56
Michael Vaughan,b Tait,5,8,12,1,0,62.50
Sir Andrew Strauss,b Tait,7,10,11,0,0,70.00
Kevin Pietersen,c Clarke b Bracken,104,122,182,6,1,85.25
Paul Collingwood,c Gilchrist b Tait,2,5,3,0,0,40.00
Andrew Flintoff,st Gilchrist b Hogg,4,19,20,0,0,21.05
Ravi Bopara,c Hussey b Bracken,21,36,43,2,0,58.33
Paul Nixon,c Hodge b McGrath,8,6,14,0,1,133.33
Sajid Mahmood,c Hodge b Bracken,0,2,2,0,0,0.00
Monty Panesar,not out,1,2,3,0,0,50.00
James Anderson,lbw b McGrath,0,1,2,0,0,0.00
