BATSMEN,,R,B,M,4s,6s,SR
Jason Roy,lbw b Shadab Khan,8,7,11,2,0,114.29
Jonny Bairstow,c Sarfaraz Ahmed b Wahab Riaz,32,31,46,4,1,103.23
Joe Root,c Mohammad Hafeez b Shadab Khan,107,104,168,10,1,102.88
Eoin Morgan,b Mohammad Hafeez,9,18,31,1,0,50.00
Ben Stokes,c Sarfaraz Ahmed b Shoaib Malik,13,18,27,1,0,72.22
Jos Buttler,c Wahab Riaz b Mohammad Amir,103,76,103,9,2,135.53
Moeen Ali,c Fakhar Zaman b Wahab Riaz,19,20,48,1,0,95.00
Chris Woakes,c Sarfaraz Ahmed b Wahab Riaz,21,14,23,1,1,150.00
Jofra Archer,c Wahab Riaz b Mohammad Amir,1,2,6,0,0,50.00
Adil Rashid,not out,3,4,9,0,0,75.00
Mark Wood,not out,10,6,6,2,0,166.67
