BATSMEN,,R,B,M,4s,6s,SR
Christopher Chappell,c & b Sikander Bakht,14,70,73,0,0,20.00
Glenroy Sealy,c & b Asif Iqbal,45,110,122,5,0,40.91
Franklyn Dennis,c Wasim Bari b Sarfraz Nawaz,25,64,71,2,0,39.06
Martin Stead,c Zaheer Abbas b Asif Iqbal,10,33,42,1,0,30.30
Cecil Marshall,b Imran Khan,8,34,51,0,0,23.53
John Vaughan,c & b Asif Iqbal,0,2,1,0,0,0.00
Bryan Mauricette,c Zaheer Abbas b Sarfraz Nawaz,15,38,49,0,1,39.47
Tariq Javed,st Wasim Bari b Majid Khan,3,7,5,0,0,42.86
Jitendra Patel,b Sarfraz Nawaz,0,5,9,0,0,0.00
Cornelius Henry,not out,1,3,3,0,0,33.33
