BATSMEN,,R,B,M,4s,6s,SR
Chris Gayle,c Boult b de Grandhomme,87,84,111,8,6,103.57
Shai Hope,b Boult,1,3,12,0,0,33.33
Nicholas Pooran,c Latham b Boult,1,7,17,0,0,14.29
Shimron Hetmyer,b Ferguson,54,45,72,8,1,120.00
Jason Holder,c Latham b Ferguson,0,1,2,0,0,0.00
Carlos Brathwaite,c Boult b Neesham,101,82,117,9,5,123.17
Ashley Nurse,c Latham b Boult,1,8,9,0,0,12.50
Evin Lewis,c Neesham b Boult,0,3,4,0,0,0.00
Kemar Roach,c Latham b Henry,14,31,44,0,1,45.16
Sheldon Cottrell,b Ferguson,15,26,30,2,0,57.69
Oshane Thomas,not out,0,4,24,0,0,0.00
